,title,cleaned
1695,K-On! The Movie,"Graduation draws near for Yui, Ritsu, Mio and Tsumugi, the four 3rd-year students of the Light Music Club. They, together with Azusa, decide to go on a post-graduation trip. Their destination, decided by lot, is London!"
1696,Kon-Tiki,"The true story about legendary explorer Thor Heyerdahl and his epic crossing of the Pacific on a balsa wood raft in 1947, in an effort to prove it was possible for South Americans to settle in Polynesia in pre-Columbian times."
1697,Krisha,"When Krisha returns to her estranged family for Thanksgiving dinner, past demons threaten to ruin the festivities."
1698,Krishna Cottage,A group of collegians are forced to take shelter in a mysterious Krishna Cottage for the night. Little do they know that the cottage is haunted by a spirit.
1699,Krish Trish and Baltiboy - Battle of Wits,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice."
1700,Krish Trish and Baltiboy: Face Your Fears,"In three tales about fear, a baby elephant gets captured by a circus, two boys enter a haunted house and a parrot faces his fear of flying."
1701,Krish Trish and Baltiboy I,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab."
1702,Krish Trish and Baltiboy - Oversmartness Never Pays,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra."
1703,Krish Trish and Baltiboy: Part II,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon."
1704,Kristy,"When a college girl who is alone on campus over the Thanksgiving break is targeted by a group of outcasts, she must conquer her deepest fears to outwit them and fight back."
1705,Krutant,"Samyak, a working professional staying in Mumbai, plans a sudden trip to Konkan with his friends. While he wants to drive down to the destination, Samyak's wife suggest he take the bus instead. On reaching Konkan, Samyak meets Baba, a wise old man, while waiting for his friends to join him."
1706,Krystal,A young man living a sheltered life develops a crush on a stripper and joins her Alcoholics Anonymous group just so he can be in the same room with her.
1707,Kuchh Bheege Alfaaz,"Every night at 10, Kolkata tunes into radio to listen to 'Kuchh Bheege Alfaaz' - an episodic series of unrequited love stories hosted by RJ Alfaz who, despite his tremendous following, prefers staying detached and anonymous. Among his many fans is the boisterous Archana, a girl working at a creative agency – which designs branded memes. She is leukodermic but lives life to the fullest. They meet; or rather talk, for the first time over a misplaced call, when Archana accidentally dials Alfaaz's number, while trying to connect with her latest blind date. Thus begins an interesting relationship between two unlikely characters, one overly compensating, but in denial of her present, and the other buried under a dark secret of his past."
1708,Kuch Kuch Hota Hai,"Anjali is left heartbroken when her best friend and secret crush, Rahul, falls in love with Tina. Years later, Tina's young daughter tries to fulfil her mother's last wish of uniting Rahul and Anjali."
1709,Küçük Esnaf,"What happens if the mob gets on small shopkeepers living in their case ? After his father's death he borrowed money from the mafia remains the Berhudar son to inherit. Back of unaccounted event tries to rally the money is not lost. Our neighborhood locksmith trying to escape from the mob Berhudar advance of the falling film , love, family , becomes a comedy to keep in mind when talking about friendship . Movie little life living two people take matters into big trouble infects rapprochement ."
1710,Kung Fu Hustle,"Set in Canton, China in the 1940s, the story revolves in a town ruled by the Axe Gang, Sing who desperately wants to become a member. He stumbles into a slum ruled by eccentric landlords who turns out to be the greatest kung-fu masters in disguise. Sing's actions eventually cause the Axe Gang and the slumlords to engage in an explosive kung-fu battle. Only one side will win and only one hero will emerge as the greatest kung-fu master of all."
1711,Kung Fu Panda: Secrets of the Scroll,"As Po looks for his lost action figures, the story of how the panda inadvertently helped create the Furious Five is told."
1712,Kuppivala,"Kuppivala is a Malayalam movie starring Ananth K. Jayachandran and Sruthi Surendran in prominent roles. The cast also includes Kochu Preman and Mohan Ayiroor. It is a drama movie directed by Suresh Pillai, with Santhosh Olathanni as writer, forming part of the crew."
1713,Kurbaan,"When a handsome young Indian couple (Saif Ali Khan and Kareena Kapoor) moves into the suburbs to claim their stake in the American dream, they are shocked to discover that they've become enmeshed in a secretive terrorist plot. But as tensions escalate, the bride begins to wonder if her husband has told her everything he knows."
1714,Kursk,"Barents Sea, August 12th, 2000. During a Russian naval exercise, and after suffering a serious accident, the K-141 Kursk submarine sinks with 118 crew members on board. While the few sailors who are still alive barely manage to survive, their families push for accurate information and a British officer struggles to obtain from the Russian government a permit to attempt a rescue before it is late. But general incompetence are against all their efforts."
1715,Kurtuluş Son Durak,"The ordinary women of an ordinary neighborhood have never been this provocative! When the women each try to cheer up psychologist Eylem (Belçim Bilgin), a newcomer to the building recently dumped by her boyfriend, nothing will ever be the same!
And that goes double for the men in their lives!
Meet Vartanuş (Demet Akbağ), who's devoted her life to her bedridden father; Göncagül (Nihal Yalçın), who realizes that her Mafioso lover will never marry her; Gülnür, who's resigned herself to daily beatings as long as her husband doesn't touch the kids; Tülay (Damla Sönmez), who's shattered every time her mother gets beaten; hairdresser Füsün (Asuman Dabak), who tends to looks at things on the bright side... These are the women who transport first Eylem, then themselves and, finally, perhaps every woman in the country, to the Kurtuluş Son Durak.
Our heroines adopt one unwavering principle: ""To oppose all forms of violence!""
A dark comedy that's rose-tinted, provocative and fantastic…"
